Nest,BroodSize,Treatment,Individual,HatchOrder,Sex,Age,Mass,RTarsus,LTarsus,DiffRLTarsus,RWing,LWing,DiffRLWing
1,4,C,5000,1,M,0,1.12,,,,,,
1,4,C,5000,1,M,5,6.75,10.2,10.6,0.4,22,21,1
1,4,C,5000,1,M,10,11.63,12.2,12.1,0.1,49,47,2
1,4,C,5000,1,M,16,12.98,14.3,14.5,0.2,66,65,1
1,4,C,5000,1,M,25,13.43,14.4,14.5,0.1,73,73,0
1,4,C,5000,1,M,45,13.67,,,,80,79,1
1,4,C,5000,1,M,60,14.08,,,,81,81,0
1,4,C,5000,1,M,120,14.1,,,,81,80,1
1,4,C,5001,2,M,0,0.98,,,,,,
1,4,C,5001,2,M,5,6.19,9.8,10.1,0.3,17,18,1
1,4,C,5001,2,M,10,10.93,11.9,12.1,0.2,50,52,2
1,4,C,5001,2,M,16,13.02,14,14.3,0.3,64,66,2
1,4,C,5001,2,M,25,14.01,14.4,14.3,0.1,75,73,2
1,4,C,5001,2,M,45,14.56,,,,80,80,0
1,4,C,5001,2,M,60,15.13,,,,81,80,1
1,4,C,5001,2,M,120,15.6,,,,81,82,1
1,4,C,5002,3,F,0,1.21,,,,,,
1,4,C,5002,3,F,5,7.1,10.7,10.6,0.1,21,21,0
1,4,C,5002,3,F,10,11.54,12.4,12.5,0.1,52,50,2
1,4,C,5002,3,F,16,12.98,14.6,14.7,0.1,69,67,2
1,4,C,5002,3,F,25,14.56,14.8,14.7,0.1,74,74,0
1,4,C,5002,3,F,45,15.74,,,,81,79,2
1,4,C,5002,3,F,60,16.01,,,,80,80,0
1,4,C,5002,3,F,120,16.43,,,,80,81,1
1,4,C,5003,4,F,0,1.03,,,,,,
1,4,C,5003,4,F,5,6.27,9.9,10,0.1,20,19,1
1,4,C,5003,4,F,10,11.68,12.2,12.1,0.1,39,41,2
1,4,C,5003,4,F,16,12.75,14.4,14.2,0.2,63,62,1
1,4,C,5003,4,F,25,13.36,14.3,14.3,0,71,71,0
1,4,C,5003,4,F,45,13.71,,,,77,79,2
1,4,C,5003,4,F,60,14.16,,,,78,79,1
1,4,C,5003,4,F,120,14.32,,,,79,80,1
2,4,NS,5004,1,F,0,1.03,,,,,,
2,4,NS,5004,1,F,5,7.21,9.9,9.8,0.1,18,19,1
2,4,NS,5004,1,F,10,9.15,11.2,11.1,0.1,32,32,0
2,4,NS,5004,1,F,16,11.23,12.4,12.5,0.1,57,54,3
2,4,NS,5004,1,F,25,12.94,12.7,12.7,0,63,67,4
2,4,NS,5004,1,F,45,13.07,,,,73,73,0
2,4,NS,5004,1,F,60,12.78,,,,75,77,2
2,4,NS,5004,1,F,120,12.69,,,,80,82,2
2,4,NS,5005,2,M,0,1.43,,,,,,
2,4,NS,5005,2,M,5,4.89,10.2,10.1,0.1,19,20,1
2,4,NS,5005,2,M,10,10.14,11.3,11.5,0.2,30,31,1
2,4,NS,5005,2,M,16,12.98,12.9,13.3,0.4,49,53,4
2,4,NS,5005,2,M,25,13.86,13.4,13.2,0.2,67,70,3
2,4,NS,5005,2,M,45,13.26,,,,71,75,4
2,4,NS,5005,2,M,60,13.39,,,,81,79,2
2,4,NS,5005,2,M,120,13.28,,,,79,82,3
2,4,NS,5006,3,F,0,1.2,,,,,,
2,4,NS,5006,3,F,5,4.19,9.9,10.1,0.2,22,21,1
2,4,NS,5006,3,F,10,8.4,11.9,11.8,0.1,38,34,4
2,4,NS,5006,3,F,16,11.28,13.4,13.7,0.3,48,51,3
2,4,NS,5006,3,F,25,11.98,13.6,14.1,0.5,63,67,4
2,4,NS,5006,3,F,45,12.05,,,,72,74,2
2,4,NS,5006,3,F,60,12.67,,,,77,80,3
2,4,NS,5006,3,F,120,12.62,,,,80,81,1
2,4,NS,5007,4,M,0,1.28,,,,,,
2,4,NS,5007,4,M,5,5.99,10.2,10.2,0,19,17,2
2,4,NS,5007,4,M,10,9.67,11.4,11.6,0.2,31,33,2
2,4,NS,5007,4,M,16,10.78,13.6,13.9,0.3,48,43,5
2,4,NS,5007,4,M,25,11.47,13.5,13.9,0.4,68,62,6
2,4,NS,5007,4,M,45,12.4,,,,74,70,4
2,4,NS,5007,4,M,60,12.83,,,,75,72,3
2,4,NS,5007,4,M,120,13.23,,,,78,72,6
3,5,NS,5008,1,M,0,1.78,,,,,,
3,5,NS,5008,1,M,5,6.38,10.2,10.4,0.2,22,22,0
3,5,NS,5008,1,M,10,10.39,10.9,11.2,0.3,29,34,5
3,5,NS,5008,1,M,16,11.82,11.8,12.3,0.5,49,51,2
3,5,NS,5008,1,M,25,11.38,12.9,12.4,0.5,69,72,3
3,5,NS,5008,1,M,45,12.94,,,,72,74,2
3,5,NS,5008,1,M,60,12.38,,,,75,79,4
3,5,NS,5008,1,M,120,13.02,,,,76,80,4
3,5,NS,5009,2,F,0,1.09,,,,,,
3,5,NS,5009,2,F,5,6.38,10.4,10.1,0.3,18,21,3
3,5,NS,5009,2,F,10,10.28,11.1,11.4,0.3,29,34,5
3,5,NS,5009,2,F,16,11.95,12.5,12.8,0.3,46,49,3
3,5,NS,5009,2,F,25,11.83,13.7,13.5,0.2,66,62,4
3,5,NS,5009,2,F,45,12.28,,,,74,79,5
3,5,NS,5009,2,F,60,12.47,,,,72,78,6
3,5,NS,5009,2,F,120,12.93,,,,75,79,4
3,5,NS,5010,3,M,0,1.84,,,,,,
3,5,NS,5010,3,M,5,7.37,10.3,10,0.3,21,20,1
3,5,NS,5010,3,M,10,9.49,10.8,10.9,0.1,39,42,3
3,5,NS,5010,3,M,16,10.28,12.4,12.8,0.4,53,57,4
