Nest,BroodSize,Treatment,Individual,HatchOrder,Sex,Age,Mass,RTarsus,LTarsus,DiffRLTarsus,RWing,LWing,DiffRLWing
1,4,C,5000,1,M,16,12.98,14.3,14.5,0.2,66,65,1
1,4,C,5001,2,M,16,13.02,14,14.3,0.3,64,66,2
1,4,C,5002,3,F,16,12.98,14.6,14.7,0.1,69,67,2
1,4,C,5003,4,F,16,12.75,14.4,14.2,0.2,63,62,1
2,4,NS,5004,1,F,16,11.23,12.4,12.5,0.1,57,54,3
2,4,NS,5005,2,M,16,12.98,12.9,13.3,0.4,49,53,4
2,4,NS,5006,3,F,16,11.28,13.4,13.7,0.3,48,51,3
2,4,NS,5007,4,M,16,10.78,13.6,13.9,0.3,48,43,5
3,5,NS,5008,1,M,16,11.82,11.8,12.3,0.5,49,51,2
3,5,NS,5009,2,F,16,11.95,12.5,12.8,0.3,46,49,3
3,5,NS,5010,3,M,16,10.28,12.4,12.8,0.4,53,57,4
3,5,NS,5011,4,M,16,10.93,11.8,12.3,0.5,47,50,3
3,5,NS,5012,5,F,16,11.48,12.6,12.3,0.3,55,52,3
4,5,C,5013,1,F,16,13.6,14.8,14.7,0.1,67,68,1
4,5,C,5014,2,F,16,12.75,13.7,13.9,0.2,64,65,1
4,5,C,5015,3,F,16,12.97,14.7,14.5,0.2,64,68,4
4,5,C,5016,4,M,16,12.75,14.2,14.4,0.2,64,65,1
4,5,C,5017,5,M,16,13.36,14.5,14.4,0.1,64,67,3
5,4,NS,5018,1,M,16,12.46,13.3,13.6,0.3,53,56,3
5,4,NS,5019,2,F,16,11.43,13.6,13.7,0.1,48,49,1
5,4,NS,5020,3,M,16,11.43,13.4,13.7,0.3,58,59,1
5,4,NS,5021,4,F,16,10.23,12.6,12.7,0.1,62,64,2
6,4,C,5022,1,F,16,12.94,14.5,14.7,0.2,64,65,1
6,4,C,5023,2,M,16,12.48,14.6,14.7,0.1,61,61,0
6,4,C,5024,3,M,16,12.94,14.5,14.5,0,67,68,1
6,4,C,5025,4,M,16,12.93,14.2,14.5,0.3,67,68,1
7,5,C,5026,1,F,16,12.49,14.3,14.6,0.3,61,63,2
7,5,C,5027,2,F,16,12.48,14.5,14.3,0.2,64,68,4
7,5,C,5028,3,M,16,12.96,11.3,11.2,0.1,61,60,1
7,5,C,5029,4,F,16,12.44,14.6,14.7,0.1,65,65,0
7,5,C,5030,5,F,16,13.96,14.5,14.6,0.1,63,65,2
8,5,NS,5031,1,F,16,11.3,13.2,13.3,0.1,56,58,2
8,5,NS,5032,2,M,16,11.39,13.6,13.2,0.4,52,54,2
8,5,NS,5033,3,M,16,12.39,13.2,13.6,0.4,49,53,4
8,5,NS,5034,4,F,16,11.33,12.9,12.7,0.2,47,49,2
8,5,NS,5035,5,M,16,11.94,13.2,13.1,0.1,56,59,3
9,4,NS,5036,1,F,16,11.57,13.5,13.6,0.1,51,52,1
9,4,NS,5037,2,M,16,11.34,12.9,13.3,0.4,48,50,2
9,4,NS,5038,3,M,16,11.29,12.4,12.6,0.2,46,49,3
9,4,NS,5039,4,F,16,11.29,11.7,11.9,0.2,48,50,2
10,4,C,5040,1,F,16,12.84,14.2,14.6,0.4,62,64,2
10,4,C,5041,2,M,16,12.48,14.5,14.8,0.3,63,65,2
10,4,C,5042,3,F,16,12.85,14.6,14.8,0.2,62,65,3
10,4,C,5043,4,M,16,14.68,14.5,14.7,0.2,63,65,2
